时间,类型,价格,数量,费用
2020-03-26,%!s(types.Action=0),25.04,1.00,0.01
2020-05-18,%!s(types.Action=1),26.12,1.00,0.01
2020-06-02,%!s(types.Action=0),27.36,1.00,0.01
2020-06-12,%!s(types.Action=1),26.82,1.00,0.01
2020-07-02,%!s(types.Action=0),27.62,1.00,0.01
2020-07-16,%!s(types.Action=1),29.12,1.00,0.01
2020-08-06,%!s(types.Action=0),30.54,1.00,0.01
2020-08-25,%!s(types.Action=1),31.10,1.00,0.01
2020-09-17,%!s(types.Action=0),31.39,1.00,0.01
2020-09-23,%!s(types.Action=1),31.02,1.00,0.01
2020-10-14,%!s(types.Action=0),31.57,1.00,0.01
2020-11-26,%!s(types.Action=1),38.61,1.00,0.01
2020-11-27,%!s(types.Action=0),39.37,1.00,0.01
2020-11-30,%!s(types.Action=1),37.72,1.00,0.01
2020-12-02,%!s(types.Action=0),40.32,1.00,0.01
2020-12-04,%!s(types.Action=1),39.30,1.00,0.01
2021-01-06,%!s(types.Action=0),37.67,1.00,0.01
2021-01-29,%!s(types.Action=1),44.62,1.00,0.01
2021-02-05,%!s(types.Action=0),48.26,1.00,0.01
2021-02-22,%!s(types.Action=1),47.72,1.00,0.01
2021-03-16,%!s(types.Action=0),47.84,1.00,0.01
2021-03-25,%!s(types.Action=1),44.53,1.00,0.01
2021-04-20,%!s(types.Action=0),45.51,1.00,0.01
2021-06-04,%!s(types.Action=1),51.05,1.00,0.02
2021-07-22,%!s(types.Action=0),45.02,1.00,0.01
2021-07-26,%!s(types.Action=1),42.47,1.00,0.01
2021-08-06,%!s(types.Action=0),42.36,1.00,0.01
2021-08-30,%!s(types.Action=1),43.22,1.00,0.01
2021-09-02,%!s(types.Action=0),46.37,1.00,0.01
2021-09-16,%!s(types.Action=1),45.47,1.00,0.01
2021-10-11,%!s(types.Action=0),47.77,1.00,0.01
2021-11-02,%!s(types.Action=1),47.02,1.00,0.01
2021-12-06,%!s(types.Action=0),46.59,1.00,0.01
2021-12-17,%!s(types.Action=1),45.54,1.00,0.01
2022-01-11,%!s(types.Action=0),44.62,1.00,0.01
2022-02-23,%!s(types.Action=1),45.60,1.00,0.01
2022-03-22,%!s(types.Action=0),40.30,1.00,0.01
2022-04-18,%!s(types.Action=1),38.16,1.00,0.01
2022-05-17,%!s(types.Action=0),33.37,1.00,0.01
2022-07-07,%!s(types.Action=1),34.52,1.00,0.01
2022-08-12,%!s(types.Action=0),30.66,1.00,0.01
2022-09-26,%!s(types.Action=1),30.24,1.00,0.01
2022-11-04,%!s(types.Action=0),25.37,1.00,0.01
2022-12-20,%!s(types.Action=1),32.01,1.00,0.01
