时间,类型,价格,数量,费用
2020-01-23,%!s(common.Action=0),29.13,1.00,0.01
2020-02-03,%!s(common.Action=0),27.35,1.00,0.01
2020-02-04,%!s(common.Action=0),27.67,1.00,0.01
2020-02-05,%!s(common.Action=0),27.68,1.00,0.01
2020-02-06,%!s(common.Action=0),28.07,1.00,0.01
2020-02-07,%!s(common.Action=0),27.74,1.00,0.01
2020-02-10,%!s(common.Action=0),27.42,1.00,0.01
2020-02-11,%!s(common.Action=0),27.89,1.00,0.01
2020-02-12,%!s(common.Action=0),27.92,1.00,0.01
2020-02-13,%!s(common.Action=0),27.59,1.00,0.01
2020-02-25,%!s(common.Action=0),26.95,1.00,0.01
2020-02-28,%!s(common.Action=0),26.52,1.00,0.01
2020-03-13,%!s(common.Action=0),25.73,1.00,0.01
2020-03-16,%!s(common.Action=0),23.99,1.00,0.01
2020-03-17,%!s(common.Action=0),24.05,1.00,0.01
2020-03-18,%!s(common.Action=0),23.14,1.00,0.01
2020-03-19,%!s(common.Action=0),21.63,1.00,0.01
2020-03-23,%!s(common.Action=0),22.48,1.00,0.01
2020-04-27,%!s(common.Action=1),25.90,1.00,0.01
2020-04-28,%!s(common.Action=1),26.18,1.00,0.01
2020-04-29,%!s(common.Action=1),27.34,1.00,0.01
2020-04-30,%!s(common.Action=1),27.41,1.00,0.01
2020-05-06,%!s(common.Action=1),26.95,1.00,0.01
2020-05-08,%!s(common.Action=1),27.29,1.00,0.01
2020-05-11,%!s(common.Action=1),27.28,1.00,0.01
2020-06-03,%!s(common.Action=1),27.54,1.00,0.01
2020-06-08,%!s(common.Action=1),27.99,1.00,0.01
2020-06-09,%!s(common.Action=1),27.85,1.00,0.01
2020-06-15,%!s(common.Action=0),25.89,1.00,0.01
2020-06-23,%!s(common.Action=0),25.67,1.00,0.01
2020-07-02,%!s(common.Action=1),27.62,1.00,0.01
2020-07-03,%!s(common.Action=1),29.06,1.00,0.01
2020-07-06,%!s(common.Action=1),32.73,1.00,0.01
2020-07-07,%!s(common.Action=1),33.38,1.00,0.01
2020-07-08,%!s(common.Action=1),32.82,1.00,0.01
2020-07-09,%!s(common.Action=1),32.23,1.00,0.01
2020-08-12,%!s(common.Action=1),31.31,1.00,0.01
2020-08-14,%!s(common.Action=1),31.52,1.00,0.01
2020-08-17,%!s(common.Action=1),32.57,1.00,0.01
2020-08-18,%!s(common.Action=1),32.37,1.00,0.01
2020-09-29,%!s(common.Action=0),29.83,1.00,0.01
2020-09-30,%!s(common.Action=0),29.52,1.00,0.01
2020-10-09,%!s(common.Action=0),29.70,1.00,0.01
2020-10-15,%!s(common.Action=1),32.53,1.00,0.01
2020-10-16,%!s(common.Action=1),33.30,1.00,0.01
2020-10-19,%!s(common.Action=1),33.51,1.00,0.01
2020-12-11,%!s(common.Action=0),36.20,1.00,0.01
2020-12-22,%!s(common.Action=0),35.43,1.00,0.01
2021-01-07,%!s(common.Action=1),39.42,1.00,0.01
2021-01-08,%!s(common.Action=1),40.12,1.00,0.01
2021-03-02,%!s(common.Action=0),43.07,1.00,0.01
2021-03-09,%!s(common.Action=0),42.02,1.00,0.01
2021-04-14,%!s(common.Action=0),43.22,1.00,0.01
2021-04-15,%!s(common.Action=0),42.96,1.00,0.01
2021-04-21,%!s(common.Action=1),46.41,1.00,0.01
2021-04-23,%!s(common.Action=1),46.82,1.00,0.01
2021-05-07,%!s(common.Action=1),47.70,1.00,0.01
2021-05-14,%!s(common.Action=1),48.50,1.00,0.01
2021-06-21,%!s(common.Action=0),47.21,1.00,0.01
2021-07-08,%!s(common.Action=0),43.87,1.00,0.01
2021-07-09,%!s(common.Action=0),43.42,1.00,0.01
2021-07-12,%!s(common.Action=0),43.92,1.00,0.01
2021-07-14,%!s(common.Action=0),43.72,1.00,0.01
2021-07-26,%!s(common.Action=0),42.47,1.00,0.01
2021-07-27,%!s(common.Action=0),40.94,1.00,0.01
2021-07-30,%!s(common.Action=0),41.27,1.00,0.01
2021-08-18,%!s(common.Action=1),47.91,1.00,0.01
2021-09-10,%!s(common.Action=1),48.89,1.00,0.01
2021-10-25,%!s(common.Action=1),49.36,1.00,0.01
2021-10-26,%!s(common.Action=1),50.07,1.00,0.02
2021-11-09,%!s(common.Action=0),45.83,1.00,0.01
2021-11-10,%!s(common.Action=0),45.40,1.00,0.01
2021-11-26,%!s(common.Action=0),44.87,1.00,0.01
2021-11-29,%!s(common.Action=0),44.59,1.00,0.01
