时间,类型,价格,数量,费用
2020-01-22,%!s(common.Action=0),29.47,1.00,0.01
2020-01-23,%!s(common.Action=0),28.77,1.00,0.01
2020-02-03,%!s(common.Action=0),26.12,1.00,0.01
2020-02-04,%!s(common.Action=0),27.00,1.00,0.01
2020-02-05,%!s(common.Action=0),27.15,1.00,0.01
2020-02-06,%!s(common.Action=0),27.45,1.00,0.01
2020-02-07,%!s(common.Action=0),27.33,1.00,0.01
2020-02-10,%!s(common.Action=0),27.27,1.00,0.01
2020-02-11,%!s(common.Action=0),27.47,1.00,0.01
2020-02-12,%!s(common.Action=0),27.56,1.00,0.01
2020-02-13,%!s(common.Action=0),27.52,1.00,0.01
2020-02-14,%!s(common.Action=0),27.53,1.00,0.01
2020-02-17,%!s(common.Action=0),27.70,1.00,0.01
2020-02-18,%!s(common.Action=0),27.92,1.00,0.01
2020-02-19,%!s(common.Action=0),27.78,1.00,0.01
2020-02-20,%!s(common.Action=0),27.52,1.00,0.01
2020-02-21,%!s(common.Action=0),27.79,1.00,0.01
2020-02-24,%!s(common.Action=0),27.35,1.00,0.01
2020-02-25,%!s(common.Action=0),26.82,1.00,0.01
2020-02-26,%!s(common.Action=0),26.57,1.00,0.01
2020-02-27,%!s(common.Action=0),27.02,1.00,0.01
2020-02-28,%!s(common.Action=0),26.52,1.00,0.01
2020-03-02,%!s(common.Action=0),26.42,1.00,0.01
2020-03-03,%!s(common.Action=0),26.74,1.00,0.01
2020-03-04,%!s(common.Action=0),26.76,1.00,0.01
2020-03-05,%!s(common.Action=0),27.12,1.00,0.01
2020-03-06,%!s(common.Action=0),27.73,1.00,0.01
2020-03-09,%!s(common.Action=0),26.50,1.00,0.01
2020-03-10,%!s(common.Action=0),26.40,1.00,0.01
2020-03-11,%!s(common.Action=0),26.73,1.00,0.01
2020-03-12,%!s(common.Action=0),26.34,1.00,0.01
2020-03-13,%!s(common.Action=0),24.72,1.00,0.01
2020-03-16,%!s(common.Action=0),23.96,1.00,0.01
2020-03-17,%!s(common.Action=0),23.43,1.00,0.01
2020-03-18,%!s(common.Action=0),23.08,1.00,0.01
2020-03-19,%!s(common.Action=0),21.03,1.00,0.01
2020-03-20,%!s(common.Action=0),22.12,1.00,0.01
2020-03-23,%!s(common.Action=0),22.20,1.00,0.01
2020-03-24,%!s(common.Action=0),23.13,1.00,0.01
2020-03-25,%!s(common.Action=0),24.49,1.00,0.01
2020-03-26,%!s(common.Action=0),24.38,1.00,0.01
2020-03-26,%!s(common.Action=0),24.38,1.00,0.01
2020-03-27,%!s(common.Action=0),24.80,1.00,0.01
2020-03-30,%!s(common.Action=0),24.12,1.00,0.01
2020-03-31,%!s(common.Action=0),24.48,1.00,0.01
2020-04-01,%!s(common.Action=0),24.32,1.00,0.01
2020-04-02,%!s(common.Action=0),24.03,1.00,0.01
2020-04-03,%!s(common.Action=0),24.31,1.00,0.01
2020-04-07,%!s(common.Action=0),24.72,1.00,0.01
2020-04-08,%!s(common.Action=0),24.44,1.00,0.01
2020-04-09,%!s(common.Action=0),24.43,1.00,0.01
2020-04-10,%!s(common.Action=0),24.23,1.00,0.01
2020-04-13,%!s(common.Action=0),24.14,1.00,0.01
2020-04-14,%!s(common.Action=0),24.40,1.00,0.01
2020-04-15,%!s(common.Action=0),24.64,1.00,0.01
2020-04-16,%!s(common.Action=0),24.28,1.00,0.01
2020-04-17,%!s(common.Action=0),24.66,1.00,0.01
2020-04-20,%!s(common.Action=0),24.87,1.00,0.01
2020-04-21,%!s(common.Action=0),24.90,1.00,0.01
2020-04-22,%!s(common.Action=0),24.65,1.00,0.01
2020-04-23,%!s(common.Action=0),24.97,1.00,0.01
2020-04-24,%!s(common.Action=0),24.73,1.00,0.01
2020-04-27,%!s(common.Action=0),25.04,1.00,0.01
2020-04-28,%!s(common.Action=0),25.62,1.00,0.01
2020-04-29,%!s(common.Action=0),26.21,1.00,0.01
2020-04-30,%!s(common.Action=1),27.37,1.00,0.01
2020-05-06,%!s(common.Action=0),26.50,1.00,0.01
2020-05-07,%!s(common.Action=0),26.37,1.00,0.01
2020-05-08,%!s(common.Action=0),26.87,1.00,0.01
2020-05-11,%!s(common.Action=0),27.20,1.00,0.01
2020-05-12,%!s(common.Action=0),26.76,1.00,0.01
2020-05-13,%!s(common.Action=0),26.42,1.00,0.01
2020-05-14,%!s(common.Action=0),26.12,1.00,0.01
2020-05-15,%!s(common.Action=0),26.02,1.00,0.01
2020-05-18,%!s(common.Action=1),25.83,1.00,0.01
2020-05-18,%!s(common.Action=0),25.83,1.00,0.01
2020-05-19,%!s(common.Action=0),26.38,1.00,0.01
2020-05-20,%!s(common.Action=0),26.42,1.00,0.01
2020-05-21,%!s(common.Action=0),26.98,1.00,0.01
2020-05-21,%!s(common.Action=0),26.98,1.00,0.01
2020-05-22,%!s(common.Action=1),25.93,1.00,0.01
2020-05-22,%!s(common.Action=0),25.93,1.00,0.01
2020-05-25,%!s(common.Action=0),25.22,1.00,0.01
2020-05-26,%!s(common.Action=0),25.41,1.00,0.01
2020-05-27,%!s(common.Action=0),25.56,1.00,0.01
2020-05-28,%!s(common.Action=0),25.75,1.00,0.01
2020-05-29,%!s(common.Action=0),26.02,1.00,0.01
2020-06-01,%!s(common.Action=0),26.42,1.00,0.01
2020-06-02,%!s(common.Action=0),26.86,1.00,0.01
2020-06-03,%!s(common.Action=0),27.34,1.00,0.01
2020-06-03,%!s(common.Action=0),27.34,1.00,0.01
2020-06-04,%!s(common.Action=0),27.39,1.00,0.01
2020-06-05,%!s(common.Action=0),27.13,1.00,0.01
2020-06-08,%!s(common.Action=0),27.82,1.00,0.01
2020-06-09,%!s(common.Action=0),27.58,1.00,0.01
2020-06-10,%!s(common.Action=0),27.50,1.00,0.01
2020-06-11,%!s(common.Action=0),26.63,1.00,0.01
2020-06-12,%!s(common.Action=1),26.02,1.00,0.01
2020-06-12,%!s(common.Action=0),26.02,1.00,0.01
2020-06-15,%!s(common.Action=0),25.78,1.00,0.01
2020-06-16,%!s(common.Action=0),26.13,1.00,0.01
2020-06-17,%!s(common.Action=0),26.15,1.00,0.01
2020-06-18,%!s(common.Action=0),25.34,1.00,0.01
2020-06-19,%!s(common.Action=0),25.92,1.00,0.01
2020-06-22,%!s(common.Action=0),25.65,1.00,0.01
2020-06-23,%!s(common.Action=0),25.43,1.00,0.01
2020-06-24,%!s(common.Action=0),25.83,1.00,0.01
2020-06-29,%!s(common.Action=0),25.81,1.00,0.01
2020-06-30,%!s(common.Action=0),25.96,1.00,0.01
2020-07-01,%!s(common.Action=0),25.93,1.00,0.01
2020-07-02,%!s(common.Action=0),26.62,1.00,0.01
2020-07-03,%!s(common.Action=0),27.67,1.00,0.01
2020-07-03,%!s(common.Action=0),27.67,1.00,0.01
2020-07-06,%!s(common.Action=1),29.50,1.00,0.01
2020-07-07,%!s(common.Action=1),32.82,1.00,0.01
2020-07-08,%!s(common.Action=1),32.29,1.00,0.01
2020-07-09,%!s(common.Action=1),31.85,1.00,0.01
2020-07-10,%!s(common.Action=0),30.57,1.00,0.01
2020-07-13,%!s(common.Action=0),30.19,1.00,0.01
2020-07-14,%!s(common.Action=0),29.75,1.00,0.01
2020-07-15,%!s(common.Action=0),29.22,1.00,0.01
2020-07-16,%!s(common.Action=0),29.11,1.00,0.01
2020-07-17,%!s(common.Action=1),28.83,1.00,0.01
2020-07-17,%!s(common.Action=0),28.83,1.00,0.01
2020-07-20,%!s(common.Action=0),29.37,1.00,0.01
2020-07-21,%!s(common.Action=0),30.04,1.00,0.01
2020-07-22,%!s(common.Action=0),29.78,1.00,0.01
2020-07-23,%!s(common.Action=0),28.77,1.00,0.01
2020-07-24,%!s(common.Action=0),27.65,1.00,0.01
2020-07-27,%!s(common.Action=0),27.53,1.00,0.01
2020-07-28,%!s(common.Action=0),27.73,1.00,0.01
2020-07-29,%!s(common.Action=0),27.75,1.00,0.01
2020-07-30,%!s(common.Action=0),28.00,1.00,0.01
2020-07-31,%!s(common.Action=0),28.01,1.00,0.01
2020-08-03,%!s(common.Action=0),28.30,1.00,0.01
2020-08-04,%!s(common.Action=0),28.52,1.00,0.01
2020-08-05,%!s(common.Action=0),29.33,1.00,0.01
2020-08-06,%!s(common.Action=0),29.86,1.00,0.01
2020-08-06,%!s(common.Action=0),29.86,1.00,0.01
2020-08-07,%!s(common.Action=0),29.72,1.00,0.01
2020-08-10,%!s(common.Action=0),29.41,1.00,0.01
2020-08-11,%!s(common.Action=0),30.67,1.00,0.01
2020-08-12,%!s(common.Action=0),30.55,1.00,0.01
2020-08-13,%!s(common.Action=0),30.84,1.00,0.01
2020-08-14,%!s(common.Action=0),30.78,1.00,0.01
2020-08-17,%!s(common.Action=0),31.58,1.00,0.01
2020-08-18,%!s(common.Action=1),32.05,1.00,0.01
2020-08-19,%!s(common.Action=0),31.87,1.00,0.01
2020-08-20,%!s(common.Action=0),30.65,1.00,0.01
2020-08-21,%!s(common.Action=0),30.98,1.00,0.01
2020-08-24,%!s(common.Action=0),30.89,1.00,0.01
2020-08-25,%!s(common.Action=0),30.94,1.00,0.01
2020-08-26,%!s(common.Action=1),30.53,1.00,0.01
2020-08-26,%!s(common.Action=0),30.53,1.00,0.01
2020-08-27,%!s(common.Action=0),29.93,1.00,0.01
2020-08-28,%!s(common.Action=0),30.12,1.00,0.01
2020-08-31,%!s(common.Action=0),31.07,1.00,0.01
2020-09-01,%!s(common.Action=0),30.53,1.00,0.01
2020-09-02,%!s(common.Action=0),30.32,1.00,0.01
2020-09-03,%!s(common.Action=0),30.28,1.00,0.01
2020-09-04,%!s(common.Action=0),29.87,1.00,0.01
2020-09-07,%!s(common.Action=0),30.21,1.00,0.01
2020-09-08,%!s(common.Action=0),30.54,1.00,0.01
2020-09-09,%!s(common.Action=0),30.68,1.00,0.01
2020-09-10,%!s(common.Action=0),30.89,1.00,0.01
2020-09-11,%!s(common.Action=0),30.54,1.00,0.01
2020-09-14,%!s(common.Action=0),30.59,1.00,0.01
2020-09-15,%!s(common.Action=0),30.75,1.00,0.01
2020-09-16,%!s(common.Action=0),31.30,1.00,0.01
2020-09-17,%!s(common.Action=0),31.37,1.00,0.01
2020-09-17,%!s(common.Action=0),31.37,1.00,0.01
2020-09-18,%!s(common.Action=0),31.32,1.00,0.01
2020-09-21,%!s(common.Action=0),32.12,1.00,0.01
2020-09-22,%!s(common.Action=0),31.26,1.00,0.01
2020-09-23,%!s(common.Action=0),30.92,1.00,0.01
2020-09-24,%!s(common.Action=1),30.42,1.00,0.01
2020-09-24,%!s(common.Action=0),30.42,1.00,0.01
2020-09-25,%!s(common.Action=0),30.60,1.00,0.01
2020-09-28,%!s(common.Action=0),30.57,1.00,0.01
2020-09-29,%!s(common.Action=0),29.79,1.00,0.01
2020-09-30,%!s(common.Action=0),29.32,1.00,0.01
2020-10-09,%!s(common.Action=0),29.65,1.00,0.01
2020-10-12,%!s(common.Action=0),29.82,1.00,0.01
2020-10-13,%!s(common.Action=0),30.65,1.00,0.01
2020-10-14,%!s(common.Action=0),30.91,1.00,0.01
2020-10-15,%!s(common.Action=0),31.57,1.00,0.01
2020-10-15,%!s(common.Action=0),31.57,1.00,0.01
2020-10-16,%!s(common.Action=0),32.40,1.00,0.01
2020-10-19,%!s(common.Action=1),33.41,1.00,0.01
2020-10-20,%!s(common.Action=0),33.22,1.00,0.01
2020-10-21,%!s(common.Action=0),33.51,1.00,0.01
2020-10-22,%!s(common.Action=1),33.85,1.00,0.01
2020-10-23,%!s(common.Action=1),34.38,1.00,0.01
2020-10-26,%!s(common.Action=0),33.60,1.00,0.01
2020-10-27,%!s(common.Action=0),33.85,1.00,0.01
2020-10-28,%!s(common.Action=0),33.13,1.00,0.01
2020-10-29,%!s(common.Action=0),33.19,1.00,0.01
2020-10-30,%!s(common.Action=0),33.10,1.00,0.01
2020-11-02,%!s(common.Action=1),32.70,1.00,0.01
2020-11-02,%!s(common.Action=0),32.70,1.00,0.01
2020-11-03,%!s(common.Action=0),34.22,1.00,0.01
2020-11-03,%!s(common.Action=0),34.22,1.00,0.01
2020-11-04,%!s(common.Action=0),34.90,1.00,0.01
2020-11-05,%!s(common.Action=1),35.90,1.00,0.01
2020-11-06,%!s(common.Action=0),35.61,1.00,0.01
