Date,Open,Close,High,Low,Volume,Amount
2010-01-04,2.25,2.09,2.39,2.05,746136,1332370091.0
2010-01-05,2.09,2.1,2.31,1.81,914014,1615349974.0
2010-01-06,2.07,1.82,2.07,1.79,774277,1348702948.0
2010-01-07,1.8,1.49,1.88,1.39,1019432,1742282280.0
2010-01-08,1.46,1.49,1.54,1.31,803599,1351767271.0
2010-01-11,2.22,1.51,2.24,1.4,1465693,2530625181.0
2010-01-12,1.46,1.61,1.68,1.14,1121898,1879278148.0
2010-01-13,1.19,0.91,1.33,0.78,2052233,3344313047.0
2010-01-14,0.95,1.05,1.06,0.76,1247176,2011436062.0
2010-01-15,1.0,1.03,1.15,0.82,873022,1417365938.0
2010-01-18,0.87,0.94,1.02,0.79,960226,1546142296.0
2010-01-19,0.97,0.99,1.1,0.92,984443,1601316552.0
2010-01-20,1.02,0.69,1.03,0.66,1078806,1725434301.0
2010-01-21,0.71,0.91,1.03,0.65,912858,1469683734.0
2010-01-22,0.8,1.3,1.44,0.76,1944471,3191885833.0
2010-01-25,1.09,0.97,1.4,0.91,956049,1565828495.0
2010-01-26,0.97,0.87,1.07,0.72,973649,1565571395.0
2010-01-27,0.88,0.38,0.93,0.35,1411065,2206603674.0
2010-01-28,0.37,0.14,0.37,0.03,1114657,1690862734.0
2010-01-29,0.05,0.17,0.42,0.0,923381,1411179098.0
2010-02-01,0.19,0.26,0.36,-0.06,871957,1313666473.0
2010-02-02,0.35,0.52,0.71,0.28,1123238,1758471919.0
2010-02-03,0.54,0.79,0.87,0.34,987549,1563011931.0
2010-02-04,0.65,0.69,0.84,0.62,507178,805695722.0
2010-02-05,0.5,0.41,0.6,0.26,556008,861379137.0
2010-02-08,0.41,0.14,0.5,0.11,535140,815924760.0
2010-02-09,0.16,0.28,0.34,0.13,429537,655032980.0
2010-02-10,0.36,0.45,0.5,0.31,428959,664539417.0
2010-02-11,0.48,0.47,0.58,0.42,388432,605445056.0
2010-02-12,0.54,0.63,0.66,0.51,390077,614206831.0
2010-02-22,0.57,0.6,0.76,0.45,375122,592096519.0
2010-02-23,0.57,0.39,0.57,0.2,479831,738670640.0
2010-02-24,0.25,0.46,0.47,0.2,406974,625196032.0
2010-02-25,0.46,0.69,0.84,0.45,704464,1118873396.0
2010-02-26,0.65,0.72,0.82,0.58,492145,783666867.0
2010-03-01,0.76,1.03,1.06,0.72,813009,1318204853.0
2010-03-02,1.1,1.15,1.21,1.03,1097808,1805331400.0
2010-03-03,1.15,1.17,1.18,0.99,709334,1161657569.0
2010-03-04,1.18,0.89,1.22,0.81,854536,1390873694.0
2010-03-15,0.91,0.55,0.97,0.48,655562,985495936.0
2010-03-16,0.55,0.96,0.99,0.48,651948,986746175.0
2010-03-17,0.92,1.2,1.28,0.82,605340,937367087.0
2010-03-18,1.2,1.1,1.3,1.05,542364,847490025.0
2010-03-19,1.07,1.1,1.18,0.96,475023,736175201.0
2010-03-22,1.1,1.22,1.47,1.08,652214,1027260456.0
2010-03-23,1.25,1.13,1.38,1.07,481478,754545796.0
2010-03-24,1.17,1.13,1.34,1.12,476514,748012382.0
2010-03-25,1.1,1.01,1.11,0.9,389459,598626532.0
2010-03-26,0.97,1.28,1.48,0.94,798330,1257764458.0
2010-03-29,1.39,1.76,1.84,1.37,1573013,2553505378.0
2010-03-30,1.8,1.88,1.94,1.67,895022,1468470754.0
2010-03-31,1.87,1.74,1.93,1.68,556969,907779854.0
2010-04-01,1.76,1.82,1.91,1.7,635959,1040503144.0
2010-04-02,1.88,1.75,1.93,1.69,600849,979992014.0
2010-04-06,1.85,1.82,2.08,1.75,779521,1283652808.0
2010-04-07,1.81,1.72,1.84,1.59,637702,1035449530.0
2010-04-08,1.7,1.43,1.7,1.29,831473,1327936394.0
2010-04-09,1.42,1.53,1.58,1.4,552629,884348347.0
2010-04-12,1.61,1.4,1.69,1.16,831301,1318452657.0
2010-04-13,1.39,1.62,1.71,1.25,1093558,1754697652.0
2010-04-14,1.66,1.62,1.71,1.53,669830,1080422231.0
